rank,model,score,stderr,is_new,benchmark_slug,category,url
4,o3,47.69,0.45,False,prbench-finance,frontier,https://scale.com/leaderboard/prbench-finance
5,claude-opus-4-5-20251101-thinking,46.16,0.27,True,prbench-finance,frontier,https://scale.com/leaderboard/prbench-finance
6,gpt-oss-120b,43.8,1.96,False,prbench-finance,frontier,https://scale.com/leaderboard/prbench-finance
6,claude-sonnet-4-5-20250929,43.79,0.4,False,prbench-finance,frontier,https://scale.com/leaderboard/prbench-finance
6,kimi-k2-thinking,43.41,0.23,False,prbench-finance,frontier,https://scale.com/leaderboard/prbench-finance
9,mistral-medium-latest,39.35,0.75,False,prbench-finance,frontier,https://scale.com/leaderboard/prbench-finance
9,o4-mini,39.22,0.51,False,prbench-finance,frontier,https://scale.com/leaderboard/prbench-finance
9,gemini-3-pro-preview,39.18,0.51,True,prbench-finance,frontier,https://scale.com/leaderboard/prbench-finance
9,qwen.qwen3-235b-a22b-2507-v1:0,39.14,0.38,False,prbench-finance,frontier,https://scale.com/leaderboard/prbench-finance
9,gemini-2.5-pro,38.92,0.48,False,prbench-finance,frontier,https://scale.com/leaderboard/prbench-finance
9,gemini-2.5-flash,38.41,0.62,False,prbench-finance,frontier,https://scale.com/leaderboard/prbench-finance
9,kimi-k2-instruct,38.34,0.42,False,prbench-finance,frontier,https://scale.com/leaderboard/prbench-finance
16,claude-opus-4-1-20250805,35.15,1.27,False,prbench-finance,frontier,https://scale.com/leaderboard/prbench-finance
16,deepseek-v3p1,35.09,0.15,False,prbench-finance,frontier,https://scale.com/leaderboard/prbench-finance
17,gpt-4.1,34.32,0.26,False,prbench-finance,frontier,https://scale.com/leaderboard/prbench-finance
19,deepseek-r1-0528,32.67,0.64,False,prbench-finance,frontier,https://scale.com/leaderboard/prbench-finance
20,gpt-4.1-mini,30.45,0.42,False,prbench-finance,frontier,https://scale.com/leaderboard/prbench-finance
21,llama4-maverick-instruct-basic,22.36,0.42,False,prbench-finance,frontier,https://scale.com/leaderboard/prbench-finance
1,gpt-5-pro,49.89,0.36,False,prbench-legal,frontier,https://scale.com/leaderboard/prbench-legal
1,o3-pro,49.67,0.5,False,prbench-legal,frontier,https://scale.com/leaderboard/prbench-legal
3,gpt-5,48.96,0.03,False,prbench-legal,frontier,https://scale.com/leaderboard/prbench-legal
3,o3,48.57,0.54,False,prbench-legal,frontier,https://scale.com/leaderboard/prbench-legal
5,claude-opus-4-5-20251101-thinking,44.21,0.34,True,prbench-legal,frontier,https://scale.com/leaderboard/prbench-legal
6,gemini-2.5-pro,41.43,0.2,False,prbench-legal,frontier,https://scale.com/leaderboard/prbench-legal
6,gemini-2.5-flash,41.02,0.61,False,prbench-legal,frontier,https://scale.com/leaderboard/prbench-legal
6,claude-sonnet-4-5-20250929,40.84,0.4,False,prbench-legal,frontier,https://scale.com/leaderboard/prbench-legal
6,gpt-oss-120b,40.21,2.07,False,prbench-legal,frontier,https://scale.com/leaderboard/prbench-legal
7,kimi-k2-thinking,40.9,0.26,False,prbench-legal,frontier,https://scale.com/leaderboard/prbench-legal
7,gemini-3-pro-preview,40.6,0.28,True,prbench-legal,frontier,https://scale.com/leaderboard/prbench-legal
8,mistral-medium-latest,39.55,0.91,False,prbench-legal,frontier,https://scale.com/leaderboard/prbench-legal
11,qwen.qwen3-235b-a22b-2507-v1:0,38.3,0.43,False,prbench-legal,frontier,https://scale.com/leaderboard/prbench-legal
11,o4-mini,38.11,0.69,False,prbench-legal,frontier,https://scale.com/leaderboard/prbench-legal
12,deepseek-v3p1,37.62,0.64,False,prbench-legal,frontier,https://scale.com/leaderboard/prbench-legal
15,deepseek-r1-0528,36.61,0.68,False,prbench-legal,frontier,https://scale.com/leaderboard/prbench-legal
16,gpt-4.1,36.48,0.05,False,prbench-legal,frontier,https://scale.com/leaderboard/prbench-legal
16,kimi-k2-instruct,36.38,0.25,False,prbench-legal,frontier,https://scale.com/leaderboard/prbench-legal
16,claude-opus-4-1-20250805,34.0,2.54,False,prbench-legal,frontier,https://scale.com/leaderboard/prbench-legal
20,gpt-4.1-mini,30.38,0.55,False,prbench-legal,frontier,https://scale.com/leaderboard/prbench-legal
21,llama4-maverick-instruct-basic,24.84,0.9,False,prbench-legal,frontier,https://scale.com/leaderboard/prbench-legal
1,gemini-3-pro-preview,37.52,1.9,True,humanitys_last_exam,frontier,https://scale.com/leaderboard/humanitys_last_exam
2,gpt-5-pro-2025-10-06,31.64,1.82,False,humanitys_last_exam,frontier,https://scale.com/leaderboard/humanitys_last_exam
3,gpt-5-2025-08-07,25.32,1.7,False,humanitys_last_exam,frontier,https://scale.com/leaderboard/humanitys_last_exam
3,claude-opus-4-5-20251101-thinking,25.2,1.7,True,humanitys_last_exam,frontier,https://scale.com/leaderboard/humanitys_last_exam
3,gpt-5.1-thinking,23.68,1.67,True,humanitys_last_exam,frontier,https://scale.com/leaderboard/humanitys_last_exam
5,gemini-2.5-pro-preview-06-05,21.64,1.61,False,humanitys_last_exam,frontier,https://scale.com/leaderboard/humanitys_last_exam
6,o3 (high) (April 2025),20.32,1.58,False,humanitys_last_exam,frontier,https://scale.com/leaderboard/humanitys_last_exam
6,gpt-5-mini-2025-08-07,19.44,1.55,False,humanitys_last_exam,frontier,https://scale.com/leaderboard/humanitys_last_exam
6,o3 (medium) (April 2025),19.2,1.54,False,humanitys_last_exam,frontier,https://scale.com/leaderboard/humanitys_last_exam
7,Gemini 2.5 Pro Experimental (March 2025),18.16,1.51,False,humanitys_last_exam,frontier,https://scale.com/leaderboard/humanitys_last_exam
7,o4-mini (high) (April 2025),18.08,1.51,False,humanitys_last_exam,frontier,https://scale.com/leaderboard/humanitys_last_exam
7,Gemini 2.5 Pro Preview (May 06 2025),17.8,1.5,False,humanitys_last_exam,frontier,https://scale.com/leaderboard/humanitys_last_exam
13,o4-mini (medium) (April 2025),14.28,1.37,False,humanitys_last_exam,frontier,https://scale.com/leaderboard/humanitys_last_exam
13,claude-opus-4-5-20251101,14.16,1.37,True,humanitys_last_exam,frontier,https://scale.com/leaderboard/humanitys_last_exam
13,claude-sonnet-4-5-20250929-thinking,13.72,1.35,False,humanitys_last_exam,frontier,https://scale.com/leaderboard/humanitys_last_exam
13,Gemini 2.5 Flash (April 2025),12.08,1.28,False,humanitys_last_exam,frontier,https://scale.com/leaderboard/humanitys_last_exam
15,claude-opus-4-1-20250805-thinking,11.52,1.25,False,humanitys_last_exam,frontier,https://scale.com/leaderboard/humanitys_last_exam
16,Gemini 2.5 Flash Preview (May 2025),10.96,1.22,False,humanitys_last_exam,frontier,https://scale.com/leaderboard/humanitys_last_exam
16,Claude Opus 4 (Thinking),10.72,1.21,False,humanitys_last_exam,frontier,https://scale.com/leaderboard/humanitys_last_exam
20,glm-4p5,8.32,1.08,False,humanitys_last_exam,frontier,https://scale.com/leaderboard/humanitys_last_exam
20,o1 Pro,8.12,1.07,False,humanitys_last_exam,frontier,https://scale.com/leaderboard/humanitys_last_exam
20,glm-4p5-air,8.12,1.07,False,humanitys_last_exam,frontier,https://scale.com/leaderboard/humanitys_last_exam
20,Claude 3.7 Sonnet (Thinking),8.04,1.07,False,humanitys_last_exam,frontier,https://scale.com/leaderboard/humanitys_last_exam
20,o1 (December 2024),7.96,1.06,False,humanitys_last_exam,frontier,https://scale.com/leaderboard/humanitys_last_exam
20,claude-opus-4-1-20250805,7.92,1.06,False,humanitys_last_exam,frontier,https://scale.com/leaderboard/humanitys_last_exam
20,Claude Sonnet 4 (Thinking),7.76,1.05,False,humanitys_last_exam,frontier,https://scale.com/leaderboard/humanitys_last_exam
20,claude-sonnet-4-5-20250929,7.52,1.03,False,humanitys_last_exam,frontier,https://scale.com/leaderboard/humanitys_last_exam
20,gpt-5.1-instant,6.8,0.99,True,humanitys_last_exam,frontier,https://scale.com/leaderboard/humanitys_last_exam
20,Claude Opus 4,6.68,0.98,False,humanitys_last_exam,frontier,https://scale.com/leaderboard/humanitys_last_exam
20,Gemini 2.0 Flash Thinking (January 2025),6.56,0.97,False,humanitys_last_exam,frontier,https://scale.com/leaderboard/humanitys_last_exam
21,Llama 4 Maverick,5.68,0.91,False,humanitys_last_exam,frontier,https://scale.com/leaderboard/humanitys_last_exam
28,Claude Sonnet 4,5.52,0.9,False,humanitys_last_exam,frontier,https://scale.com/leaderboard/humanitys_last_exam
28,GPT 4.5 Preview,5.44,0.89,False,humanitys_last_exam,frontier,https://scale.com/leaderboard/humanitys_last_exam
28,GPT-4.1,5.4,0.89,False,humanitys_last_exam,frontier,https://scale.com/leaderboard/humanitys_last_exam
31,Gemini-1.5-Pro-002,4.6,0.82,False,humanitys_last_exam,frontier,https://scale.com/leaderboard/humanitys_last_exam
31,Mistral Medium 3,4.52,0.81,False,humanitys_last_exam,frontier,https://scale.com/leaderboard/humanitys_last_exam
32,Nova Pro,4.4,0.8,False,humanitys_last_exam,frontier,https://scale.com/leaderboard/humanitys_last_exam
32,Claude 3.5 Sonnet (October 2024),4.08,0.78,False,humanitys_last_exam,frontier,https://scale.com/leaderboard/humanitys_last_exam
35,Nova Lite,3.64,0.73,False,humanitys_last_exam,frontier,https://scale.com/leaderboard/humanitys_last_exam
38,GPT-4o (November 2024),2.72,0.64,False,humanitys_last_exam,frontier,https://scale.com/leaderboard/humanitys_last_exam
1,gemini-3-pro-preview,26.85,0.54,True,vtb,frontier,https://scale.com/leaderboard/vtb
1,gpt-5-2025-08-07-thinking,18.68,0.25,False,vtb,frontier,https://scale.com/leaderboard/vtb
2,gpt-5-2025-08-07,16.96,0.06,False,vtb,frontier,https://scale.com/leaderboard/vtb
3,o3-2025-04-16,13.74,1.78,False,vtb,frontier,https://scale.com/leaderboard/vtb
3,gemini-2.5-pro-preview-06-05,11.75,1.14,False,vtb,frontier,https://scale.com/leaderboard/vtb
4,o4-mini-2025-04-16,11.12,0.08,False,vtb,frontier,https://scale.com/leaderboard/vtb
6,claude-sonnet-4-5-20250929-thinking,6.2,0.14,False,vtb,frontier,https://scale.com/leaderboard/vtb
7,claude-sonnet-4-5-20250929,5.6,0.12,False,vtb,frontier,https://scale.com/leaderboard/vtb
7,gpt-4.1-2025-04-14,5.52,0.21,False,vtb,frontier,https://scale.com/leaderboard/vtb
7,claude-opus-4-1-20250805-thinking,5.16,0.57,False,vtb,frontier,https://scale.com/leaderboard/vtb
9,claude-opus-4-1-20250805,4.71,0.4,False,vtb,frontier,https://scale.com/leaderboard/vtb
9,gemini-2.5-flash,4.69,0.13,False,vtb,frontier,https://scale.com/leaderboard/vtb
9,claude-sonnet-4,4.48,0.41,False,vtb,frontier,https://scale.com/leaderboard/vtb
11,claude-sonnet-4-thinking,4.44,0.04,False,vtb,frontier,https://scale.com/leaderboard/vtb
14,nova-premier,2.0,0.16,False,vtb,frontier,https://scale.com/leaderboard/vtb
15,llama4-scout,1.58,0.04,False,vtb,frontier,https://scale.com/leaderboard/vtb
15,llama4-maverick,1.41,0.25,False,vtb,frontier,https://scale.com/leaderboard/vtb
1,gpt-5-pro-2025-10-06,65.2,1.24,False,multinrc,frontier,https://scale.com/leaderboard/multinrc
2,gemini-3-pro-preview,58.96,2.97,True,multinrc,frontier,https://scale.com/leaderboard/multinrc
3,gpt-5-2025-08-07,52.13,3.01,False,multinrc,frontier,https://scale.com/leaderboard/multinrc
3,o3-pro-2025-06-10-high,49.0,3.02,False,multinrc,frontier,https://scale.com/leaderboard/multinrc
3,gpt-5.1-thinking,49.0,3.02,True,multinrc,frontier,https://scale.com/leaderboard/multinrc
3,claude-opus-4-5-20251101-thinking,48.63,3.02,True,multinrc,frontier,https://scale.com/leaderboard/multinrc
4,o3-2025-04-16-high,45.5,3.0,False,multinrc,frontier,https://scale.com/leaderboard/multinrc
4,Gemini-2.5-Pro-Preview-06-05,45.12,3.0,False,multinrc,frontier,https://scale.com/leaderboard/multinrc
4,o3-2025-04-16-medium,44.45,3.0,False,multinrc,frontier,https://scale.com/leaderboard/multinrc
7,claude-opus-4-5-20251101,41.23,2.97,True,multinrc,frontier,https://scale.com/leaderboard/multinrc
10,claude-opus-4-1-20250805-thinking,38.39,2.93,False,multinrc,frontier,https://scale.com/leaderboard/multinrc
10,claude-sonnet-4-5-20250929-thinking,35.83,2.89,False,multinrc,frontier,https://scale.com/leaderboard/multinrc
11,Claude-4-Opus-20250514-thinking,33.93,2.86,False,multinrc,frontier,https://scale.com/leaderboard/multinrc
13,claude-opus-4-1-20250805,29.67,2.76,False,multinrc,frontier,https://scale.com/leaderboard/multinrc
13,Claude-4-Opus-20250514,29.0,2.74,False,multinrc,frontier,https://scale.com/leaderboard/multinrc
14,claude-sonnet-4-5-20250929,28.15,2.71,False,multinrc,frontier,https://scale.com/leaderboard/multinrc
14,Claude-3.7-Sonnet-thinking,27.77,2.7,False,multinrc,frontier,https://scale.com/leaderboard/multinrc
14,Deepseek-R1-0528,27.58,2.7,False,multinrc,frontier,https://scale.com/leaderboard/multinrc
14,Qwen3-235B-A22B-Thinking-2507,27.11,2.68,False,multinrc,frontier,https://scale.com/leaderboard/multinrc
15,Deepseek-R1,24.27,2.59,False,multinrc,frontier,https://scale.com/leaderboard/multinrc
15,gpt-5-mini-2025-08-07,23.89,2.57,False,multinrc,frontier,https://scale.com/leaderboard/multinrc
16,DeepSeek-V3.1,23.6,2.56,False,multinrc,frontier,https://scale.com/leaderboard/multinrc
19,o4-mini-high,22.18,2.51,False,multinrc,frontier,https://scale.com/leaderboard/multinrc
20,GPT-4.1,21.23,2.47,False,multinrc,frontier,https://scale.com/leaderboard/multinrc
23,kimi-k2-instruct,18.48,2.34,False,multinrc,frontier,https://scale.com/leaderboard/multinrc
23,Claude-4-Sonnet-20250514,18.39,2.34,False,multinrc,frontier,https://scale.com/leaderboard/multinrc
23,gpt-5.1-instant,18.29,2.33,True,multinrc,frontier,https://scale.com/leaderboard/multinrc
23,Qwen3-235B-A22B,17.63,2.3,False,multinrc,frontier,https://scale.com/leaderboard/multinrc
23,glm-4p5,17.44,2.29,False,multinrc,frontier,https://scale.com/leaderboard/multinrc
25,gpt-oss-120b,15.17,2.16,False,multinrc,frontier,https://scale.com/leaderboard/multinrc
30,GPT-4o,12.42,1.99,False,multinrc,frontier,https://scale.com/leaderboard/multinrc
31,gpt-oss-20b,10.43,1.84,False,multinrc,frontier,https://scale.com/leaderboard/multinrc
31,glm-4p5-air,10.43,1.84,False,multinrc,frontier,https://scale.com/leaderboard/multinrc
32,Llama-4-Maverick,8.44,1.68,False,multinrc,frontier,https://scale.com/leaderboard/multinrc
1,o3 Pro (high) (June 2025),63.77,1.53,False,multichallenge,frontier,https://scale.com/leaderboard/multichallenge
2,gemini-3-pro-preview,59.15,1.39,True,multichallenge,frontier,https://scale.com/leaderboard/multichallenge
2,o3 (medium) (April 2025),59.09,1.08,False,multichallenge,frontier,https://scale.com/leaderboard/multichallenge
2,gpt-5-2025-08-07,58.55,3.03,False,multichallenge,frontier,https://scale.com/leaderboard/multichallenge
2,gpt-5.1-thinking,58.39,2.31,True,multichallenge,frontier,https://scale.com/leaderboard/multichallenge
2,claude-opus-4-5-20251101-thinking,56.64,2.41,True,multichallenge,frontier,https://scale.com/leaderboard/multichallenge
2,o3 (high) (April 2025),56.51,1.82,False,multichallenge,frontier,https://scale.com/leaderboard/multichallenge
2,gpt-5-pro-2025-10-06,56.4,2.99,False,multichallenge,frontier,https://scale.com/leaderboard/multichallenge
4,claude-opus-4-1-20250805-thinking,55.18,2.44,False,multichallenge,frontier,https://scale.com/leaderboard/multichallenge
4,Claude Sonnet 4 (Thinking),53.12,4.4,False,multichallenge,frontier,https://scale.com/leaderboard/multichallenge
6,Claude Opus 4 (Thinking),53.9,0.84,False,multichallenge,frontier,https://scale.com/leaderboard/multichallenge
6,claude-opus-4-1-20250805,53.46,1.59,False,multichallenge,frontier,https://scale.com/leaderboard/multichallenge
6,claude-opus-4-5-20251101,52.83,2.09,True,multichallenge,frontier,https://scale.com/leaderboard/multichallenge
7,claude-sonnet-4-5-20250929-thinking,53.49,1.02,False,multichallenge,frontier,https://scale.com/leaderboard/multichallenge
7,gpt-5-mini-2025-08-07,50.99,3.44,False,multichallenge,frontier,https://scale.com/leaderboard/multichallenge
8,Gemini 2.5 Flash Preview (May 2025),52.62,1.53,False,multichallenge,frontier,https://scale.com/leaderboard/multichallenge
8,Claude 3.7 Sonnet Thinking (Feb 2025),51.58,1.98,False,multichallenge,frontier,https://scale.com/leaderboard/multichallenge
9,kimi-k2-instruct,51.34,1.85,False,multichallenge,frontier,https://scale.com/leaderboard/multichallenge
10,Gemini 2.5 Pro Experimental (March 2025),51.91,0.99,False,multichallenge,frontier,https://scale.com/leaderboard/multichallenge
10,gemini-2.5-pro-preview-06-05,51.62,1.35,False,multichallenge,frontier,https://scale.com/leaderboard/multichallenge
12,gpt-5.1-instant,50.57,1.4,True,multichallenge,frontier,https://scale.com/leaderboard/multichallenge
12,Claude Sonnet 4,49.63,2.56,False,multichallenge,frontier,https://scale.com/leaderboard/multichallenge
12,Claude Opus 4,49.37,2.54,False,multichallenge,frontier,https://scale.com/leaderboard/multichallenge
13,Gemini 2.5 Pro Preview (May 06 2025),49.91,1.89,False,multichallenge,frontier,https://scale.com/leaderboard/multichallenge
13,o1 Pro (March 2025),49.82,1.36,False,multichallenge,frontier,https://scale.com/leaderboard/multichallenge
16,Qwen3-235B-A22B-Thinking-2507,49.84,0.72,False,multichallenge,frontier,https://scale.com/leaderboard/multichallenge
16,claude-sonnet-4-5-20250929,48.64,1.83,False,multichallenge,frontier,https://scale.com/leaderboard/multichallenge
17,Gemini 2.5 Flash (April 2025),47.65,2.41,False,multichallenge,frontier,https://scale.com/leaderboard/multichallenge
23,o1 (December 2024),44.93,3.29,False,multichallenge,frontier,https://scale.com/leaderboard/multichallenge
23,o4-mini (medium) (April 2025),43.83,4.71,False,multichallenge,frontier,https://scale.com/leaderboard/multichallenge
26,glm-4p5,43.84,3.68,False,multichallenge,frontier,https://scale.com/leaderboard/multichallenge
29,DeepSeek-R1-0528,44.55,0.86,False,multichallenge,frontier,https://scale.com/leaderboard/multichallenge
29,DeepSeek-V3.1,44.04,1.94,False,multichallenge,frontier,https://scale.com/leaderboard/multichallenge
29,GPT-4.5 Preview (February 2025),43.77,1.6,False,multichallenge,frontier,https://scale.com/leaderboard/multichallenge
29,Claude 3.5 Sonnet (October 2024),43.2,3.07,False,multichallenge,frontier,https://scale.com/leaderboard/multichallenge
29,o4-mini (high) (April 2025),42.99,3.17,False,multichallenge,frontier,https://scale.com/leaderboard/multichallenge
30,Claude 3.7 Sonnet (February 2025),42.89,2.25,False,multichallenge,frontier,https://scale.com/leaderboard/multichallenge
30,gpt-oss-120b,42.26,1.99,False,multichallenge,frontier,https://scale.com/leaderboard/multichallenge
31,Qwen3-235B-A22B,40.53,1.72,False,multichallenge,frontier,https://scale.com/leaderboard/multichallenge
31,o3-mini (medium),40.09,2.89,False,multichallenge,frontier,https://scale.com/leaderboard/multichallenge
31,o3-mini (high),39.89,2.64,False,multichallenge,frontier,https://scale.com/leaderboard/multichallenge
31,GPT-4.1,38.26,3.97,False,multichallenge,frontier,https://scale.com/leaderboard/multichallenge
33,Gemini 2.0 Pro Experimental (February 2025),40.67,1.32,False,multichallenge,frontier,https://scale.com/leaderboard/multichallenge
34,glm-4p5-air,38.68,2.57,False,multichallenge,frontier,https://scale.com/leaderboard/multichallenge
34,Gemini 2.0 Flash Thinking Experimental (January 2025),37.78,3.67,False,multichallenge,frontier,https://scale.com/leaderboard/multichallenge
34,Gemini 2.0 Flash (February 2025),36.88,4.25,False,multichallenge,frontier,https://scale.com/leaderboard/multichallenge
42,o1-preview,37.28,0.69,False,multichallenge,frontier,https://scale.com/leaderboard/multichallenge
42,GPT-4.1 mini,35.81,2.5,False,multichallenge,frontier,https://scale.com/leaderboard/multichallenge
45,Gemini 2.0 Flash Experimental (December 2024),33.51,2.84,False,multichallenge,frontier,https://scale.com/leaderboard/multichallenge
46,o1-mini,34.49,1.43,False,multichallenge,frontier,https://scale.com/leaderboard/multichallenge
46,DeepSeek V3 (March 2025),32.19,3.18,False,multichallenge,frontier,https://scale.com/leaderboard/multichallenge
47,gpt-oss-20b,33.75,0.52,False,multichallenge,frontier,https://scale.com/leaderboard/multichallenge
48,Mistral Medium 3,32.29,1.61,False,multichallenge,frontier,https://scale.com/leaderboard/multichallenge
48,DeepSeek R1 (Jan 2025),32.01,1.4,False,multichallenge,frontier,https://scale.com/leaderboard/multichallenge
51,Llama 4 Maverick,32.06,0.7,False,multichallenge,frontier,https://scale.com/leaderboard/multichallenge
56,GPT-4o (November 2024),27.81,1.44,False,multichallenge,frontier,https://scale.com/leaderboard/multichallenge
57,Mistral Magistral,26.65,0.42,False,multichallenge,frontier,https://scale.com/leaderboard/multichallenge
57,GPT-4 (November 2024),25.22,2.29,False,multichallenge,frontier,https://scale.com/leaderboard/multichallenge
59,Llama 3.3 70B Instruct,24.84,0.55,False,multichallenge,frontier,https://scale.com/leaderboard/multichallenge
59,Nova Pro,20.73,3.64,False,multichallenge,frontier,https://scale.com/leaderboard/multichallenge
60,Gemini 1.5 Pro Experimental (August 2024),21.59,2.6,False,multichallenge,frontier,https://scale.com/leaderboard/multichallenge
61,GPT-4o mini,20.3,1.4,False,multichallenge,frontier,https://scale.com/leaderboard/multichallenge
61,Qwen 2 72B Instruct,19.99,2.84,False,multichallenge,frontier,https://scale.com/leaderboard/multichallenge
61,Qwen 2.5 14B Instruct,18.34,1.06,False,multichallenge,frontier,https://scale.com/leaderboard/multichallenge
63,Qwen 2.5 72B Instruct,17.34,0.74,False,multichallenge,frontier,https://scale.com/leaderboard/multichallenge
63,Llama 3.2 3B Instruct,17.0,1.87,False,multichallenge,frontier,https://scale.com/leaderboard/multichallenge
64,GPT-4.1 nano,15.04,2.2,False,multichallenge,frontier,https://scale.com/leaderboard/multichallenge
67,Llama 3.1 405B Instruct,16.22,0.34,False,multichallenge,frontier,https://scale.com/leaderboard/multichallenge
67,Mistral Large 2,15.23,1.04,False,multichallenge,frontier,https://scale.com/leaderboard/multichallenge
68,GPT-4o (August 2024),12.16,3.52,False,multichallenge,frontier,https://scale.com/leaderboard/multichallenge
70,Mixtral 8x7B Instruct v0.1,11.92,1.67,False,multichallenge,frontier,https://scale.com/leaderboard/multichallenge
1,gpt-5-pro-2025-10-06,18.75,2.22,False,enigma_eval,frontier,https://scale.com/leaderboard/enigma_eval
1,gemini-3-pro-preview,18.24,2.2,True,enigma_eval,frontier,https://scale.com/leaderboard/enigma_eval
3,o3 (medium) (April 2025),13.09,1.92,False,enigma_eval,frontier,https://scale.com/leaderboard/enigma_eval
3,o3 (high) (April 2025),11.91,1.85,False,enigma_eval,frontier,https://scale.com/leaderboard/enigma_eval
3,claude-opus-4-5-20251101-thinking,11.91,1.85,True,enigma_eval,frontier,https://scale.com/leaderboard/enigma_eval
3,gpt-5.1-thinking,11.23,1.8,True,enigma_eval,frontier,https://scale.com/leaderboard/enigma_eval
3,gpt-5-2025-08-07,10.47,1.74,False,enigma_eval,frontier,https://scale.com/leaderboard/enigma_eval
4,o4-mini (high) (April 2025),9.21,1.65,False,enigma_eval,frontier,https://scale.com/leaderboard/enigma_eval
